ID,Timestamp,Contents,Attachments
364114385700126721,2017-10-01 18:20:34.469000+00:00,Mg,
364112960320307202,2017-10-01 18:14:54.632000+00:00,Ag,
364109545036840960,2017-10-01 18:01:20.365000+00:00,https://secure-media.collegeboard.org/apc/ap08_chemistry_sgs.pdf,
364108792264130560,2017-10-01 17:58:20.890000+00:00,Cl,
364108773947736064,2017-10-01 17:58:16.523000+00:00,Mg,
364105935578202113,2017-10-01 17:46:59.803000+00:00,45,
364096990709022721,2017-10-01 17:11:27.180000+00:00,I,
364096963483926532,2017-10-01 17:11:20.689000+00:00,Cl,
364096948170653697,2017-10-01 17:11:17.038000+00:00,45,
364096923650752523,2017-10-01 17:11:11.192000+00:00,Na,
364096903941455872,2017-10-01 17:11:06.493000+00:00,Poop,
364096871016169472,2017-10-01 17:10:58.643000+00:00,Fe,
364096857439338497,2017-10-01 17:10:55.406000+00:00,Au,
364096850439045130,2017-10-01 17:10:53.737000+00:00,AU,
364096832059604992,2017-10-01 17:10:49.355000+00:00,26,
364096803387211776,2017-10-01 17:10:42.519000+00:00,He,
364096779228151808,2017-10-01 17:10:36.759000+00:00,Hydrogen,
364068847906455564,2017-10-01 15:19:37.413000+00:00,101,
364068648186281986,2017-10-01 15:18:49.796000+00:00,Na,
364068609829502976,2017-10-01 15:18:40.651000+00:00,45,
364067143249297408,2017-10-01 15:12:50.991000+00:00,Li,
364067090422038530,2017-10-01 15:12:38.396000+00:00,15,
364067033568247808,2017-10-01 15:12:24.841000+00:00,Carbon,
364066191364587530,2017-10-01 15:09:04.044000+00:00,Carbon,
364065430173777920,2017-10-01 15:06:02.562000+00:00,Carbon,
364065414818299904,2017-10-01 15:05:58.901000+00:00,12.0107,
364065386704142337,2017-10-01 15:05:52.198000+00:00,12,
364065364163690496,2017-10-01 15:05:46.824000+00:00,C,
364063952310894603,2017-10-01 15:00:10.212000+00:00,12\n,
364063860480671746,2017-10-01 14:59:48.318000+00:00,12,
364063841946173443,2017-10-01 14:59:43.899000+00:00,Carbon,
364062809128173569,2017-10-01 14:55:37.656000+00:00,He,
364062764462899201,2017-10-01 14:55:27.007000+00:00,12,
364062720137363457,2017-10-01 14:55:16.439000+00:00,Carbon,
364062705130143744,2017-10-01 14:55:12.861000+00:00,C,
364062031755608074,2017-10-01 14:52:32.316000+00:00,Carbon,
364062017062961152,2017-10-01 14:52:28.813000+00:00,C,
364062005750923265,2017-10-01 14:52:26.116000+00:00,12,
364060899473883140,2017-10-01 14:48:02.359000+00:00,12,
364060877139214339,2017-10-01 14:47:57.034000+00:00,C,
364060871078707210,2017-10-01 14:47:55.589000+00:00,c,
364060716162088960,2017-10-01 14:47:18.654000+00:00,carbon,
364060704787005440,2017-10-01 14:47:15.942000+00:00,Carbon,
364060683349786624,2017-10-01 14:47:10.831000+00:00,Helium,
364060636839280640,2017-10-01 14:46:59.742000+00:00,14,
364058567596048384,2017-10-01 14:38:46.396000+00:00,Lr,
364058548851703828,2017-10-01 14:38:41.927000+00:00,Li,
364057757692985344,2017-10-01 14:35:33.300000+00:00,H,
